Datetime,Open,High,Low,Close,Adj Close,Volume
2023-10-10 00:00:00+00:00,27589.201171875,27606.626953125,27589.201171875,27599.025390625,27599.025390625,0
2023-10-10 00:05:00+00:00,27594.962890625,27627.58203125,27589.50390625,27627.58203125,27627.58203125,26801152
2023-10-10 00:10:00+00:00,27635.033203125,27635.033203125,27583.82421875,27583.82421875,27583.82421875,17104896
2023-10-10 00:15:00+00:00,27584.701171875,27596.203125,27584.701171875,27588.859375,27588.859375,12485632
2023-10-10 00:20:00+00:00,27593.828125,27619.3984375,27593.828125,27619.3984375,27619.3984375,0
2023-10-10 00:25:00+00:00,27622.771484375,27625.689453125,27618.310546875,27618.310546875,27618.310546875,0
2023-10-10 00:30:00+00:00,27619.48828125,27619.716796875,27611.451171875,27614.119140625,27614.119140625,0
2023-10-10 00:35:00+00:00,27624.4375,27628.017578125,27624.4375,27628.017578125,27628.017578125,0
2023-10-10 00:40:00+00:00,27624.0546875,27624.0546875,27598.873046875,27599.5546875,27599.5546875,455680
2023-10-10 00:45:00+00:00,27590.767578125,27592.75390625,27582.30078125,27586.978515625,27586.978515625,0
2023-10-10 00:50:00+00:00,27583.248046875,27583.248046875,27575.009765625,27582.23046875,27582.23046875,0
2023-10-10 00:55:00+00:00,27585.76171875,27585.76171875,27567.482421875,27567.482421875,27567.482421875,0
2023-10-10 01:00:00+00:00,27557.955078125,27565.91796875,27552.447265625,27552.447265625,27552.447265625,0
2023-10-10 01:05:00+00:00,27541.486328125,27541.486328125,27516.2578125,27526.62890625,27526.62890625,8721408
2023-10-10 01:10:00+00:00,27539.009765625,27543.8203125,27538.046875,27540.638671875,27540.638671875,12624896
2023-10-10 01:15:00+00:00,27538.33984375,27548.650390625,27538.197265625,27547.544921875,27547.544921875,7887872
2023-10-10 01:20:00+00:00,27539.15625,27556.599609375,27539.15625,27556.599609375,27556.599609375,3151872
2023-10-10 01:25:00+00:00,27560.400390625,27568.9609375,27560.400390625,27568.9609375,27568.9609375,14921728
2023-10-10 01:30:00+00:00,27569.03125,27583.25,27565.982421875,27583.25,27583.25,4914176
2023-10-10 01:35:00+00:00,27580.693359375,27580.693359375,27572.251953125,27572.251953125,27572.251953125,10199040
2023-10-10 01:40:00+00:00,27572.349609375,27576.771484375,27571.671875,27576.771484375,27576.771484375,0
2023-10-10 01:45:00+00:00,27580.9140625,27611.765625,27580.9140625,27611.765625,27611.765625,0
2023-10-10 01:50:00+00:00,27611.271484375,27613.130859375,27607.041015625,27608.609375,27608.609375,0
2023-10-10 01:55:00+00:00,27610.3828125,27610.3828125,27601.671875,27601.671875,27601.671875,0
2023-10-10 02:00:00+00:00,27609.451171875,27609.984375,27601.703125,27605.908203125,27605.908203125,0
2023-10-10 02:05:00+00:00,27602.912109375,27603.775390625,27589.640625,27589.640625,27589.640625,4579328
2023-10-10 02:10:00+00:00,27588.21484375,27593.509765625,27588.21484375,27591.64453125,27591.64453125,0
2023-10-10 02:15:00+00:00,27592.0078125,27598.89453125,27591.95703125,27598.89453125,27598.89453125,0
2023-10-10 02:20:00+00:00,27598.89453125,27601.50390625,27598.119140625,27598.119140625,27598.119140625,2498560
2023-10-10 02:25:00+00:00,27594.67578125,27594.67578125,27586.154296875,27589.638671875,27589.638671875,0
2023-10-10 02:30:00+00:00,27588.9140625,27589.17578125,27586.548828125,27586.548828125,27586.548828125,0
2023-10-10 02:35:00+00:00,27584.34375,27605.03125,27584.34375,27605.03125,27605.03125,5701632
2023-10-10 02:40:00+00:00,27620.3046875,27633.978515625,27620.3046875,27626.619140625,27626.619140625,22024192
